CP,Plaza,Estado,Municipio,Colonia,Zona,Caja 1KG,Costo por kilo adicional,Palet
02670,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,COSMOPOLITA,1,$113,$3,$915
02680,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,POTRERO DEL LLANO,1,$113,$3,$915
02710,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN PEDRO XALPA,1,$113,$3,$915
02719,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,AMPLIACION SAN PEDRO XALPA,1,$113,$3,$915
02720,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN ANTONIO,1,$113,$3,$915
02720,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN BARTOLO CAHUALTONGO,1,$113,$3,$915
02729,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,CAMPO ENCANTADO,1,$113,$3,$915
02730,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN FRANCISCO TETECALA,1,$113,$3,$915
02739,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,MIGUEL LERDO DE TEJADA,1,$113,$3,$915
02760,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA LUCIA,1,$113,$3,$915
02760,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,INDUSTRIAL SAN ANTONIO,1,$113,$3,$915
02770,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA CRUZ ACAYUCAN,1,$113,$3,$915
02780,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PLENITUD,1,$113,$3,$915
02790,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SANTA APOLONIA,1,$113,$3,$915
02800,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,NUEVA SANTA MARIA,1,$113,$3,$915
02810,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,IGNACIO ALLENDE,1,$113,$3,$915
02810,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,VICTORIA DE LAS DEMOCRACIAS,1,$113,$3,$915
02830,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN BERNABE,1,$113,$3,$915
02840,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,OBRERO POPULAR,1,$113,$3,$915
02850,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TLATILCO,1,$113,$3,$915
02860,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,TLATILCO,1,$113,$3,$915
02870,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,SAN SALVADOR XOCHIMANCA,1,$113,$3,$915
02900,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,AGUILERA,1,$113,$3,$915
02910,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,ALDANA,1,$113,$3,$915
02920,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,AMPLIACION COSMOPOLITA,1,$113,$3,$915
02930,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,LIBERACION,1,$113,$3,$915
02940,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,PORVENIR,1,$113,$3,$915
02950,MEX,DISTRITO FEDERAL,AZCAPOTZALCO,DEL GAS,1,$113,$3,$915
